T,FC,E,F,C
1,0,1,2,3
2,0,1,2,3
3,0,1,2,3
4,1,1,2,3
5,1,1,2,3
6,1,1,2,3
7,0,1,2,3
8,0,1,2,3
9,0,1,2,3
10,0,1,2,3
11,1,1,2,3
12,3,1,2,3
13,0,1,2,3
14,4,1,2,3
15,0,1,2,3
16,0,1,2,3
17,0,1,2,3
18,2,1,2,3
19,1,1,2,3
20,0,1,2,3
21,0,1,2,3
22,1,1,2,3
23,0,1,2,3
24,0,1,2,3
25,0,1,2,3
26,2,1,2,3
27,0,1,2,3
28,2,1,2,3
29,0,1,2,3
30,2,1,2,3
31,1,1,2,3
32,0,1,2,3
33,0,1,2,3
34,1,1,2,3
35,3,1,2,3
36,3,1,2,3
37,0,1,2,3
38,3,1,2,3
39,0,1,2,3
40,4,1,2,3
41,1,1,2,3
42,7,1,2,3
43,1,1,2,3
44,0,1,2,3
45,0,1,2,3
46,0,1,2,3
47,0,1,2,3
48,1,1,2,3
49,0,1,2,3
50,0,1,2,3
51,0,1,2,3
52,0,1,2,3
53,0,1,2,3
54,1,1,2,3
55,1,1,2,3
56,1,1,2,3
57,3,1,2,3
58,4,1,2,3
59,4,1,2,3
60,8,1,2,3
61,5,1,2,3
62,6,1,2,3
63,0,1,2,3
64,5,1,2,3
65,3,1,2,3
66,0,1,2,3
67,2,1,2,3
68,1,1,2,3
69,1,1,2,3
70,0,1,2,3
71,0,1,2,3
72,0,1,2,3
73,0,1,2,3
74,1,1,2,3
75,7,1,2,3
76,2,1,2,3
77,1,1,2,3
78,0,1,2,3
79,1,1,2,3
80,5,1,2,3
81,7,1,2,3
82,3,1,2,3
83,0,1,2,3
84,1,1,2,3
85,0,1,2,3
86,7,1,2,3
87,11,1,2,3
88,11,1,2,3
89,2,1,2,3
90,0,1,2,3
91,2,1,2,3
92,5,1,2,3
93,1,1,2,3
94,2,1,2,3
95,6,1,2,3
96,5,1,2,3
97,3,1,2,3
98,5,1,2,3
99,4,1,2,3
100,4,1,2,3
101,1,1,2,3
102,4,1,2,3
103,1,1,2,3
104,10,1,2,3
105,2,1,2,3
106,3,1,2,3
107,1,1,2,3
108,1,1,2,3
109,1,1,2,3
110,1,1,2,3
111,0,1,2,3
112,0,1,2,3
113,0,1,2,3
114,1,1,2,3
115,0,1,2,3
116,1,1,2,3
117,1,1,2,3
118,0,1,2,3
119,0,1,2,3
120,0,1,2,3
121,0,1,2,3
122,0,1,2,3
123,0,1,2,3
124,0,1,2,3
125,0,1,2,3
126,1,1,2,3
127,0,1,2,3
128,0,1,2,3
129,0,1,2,3
130,0,1,2,3
131,0,1,2,3
132,0,1,2,3
133,0,1,2,3
134,0,1,2,3
135,1,1,2,3
136,0,1,2,3
137,0,1,2,3
138,0,1,2,3
139,0,1,2,3
140,0,1,2,3
141,1,1,2,3
142,0,1,2,3
143,0,1,2,3
144,0,1,2,3
145,0,1,2,3
146,0,1,2,3
147,0,1,2,3
148,0,1,2,3
149,0,1,2,3
150,0,1,2,3
151,0,1,2,3
152,1,1,2,3
153,0,1,2,3
154,0,1,2,3
155,0,1,2,3
156,0,1,2,3
157,0,1,2,3
158,1,1,2,3
159,0,1,2,3
160,1,1,2,3
161,0,1,2,3
162,0,1,2,3
163,1,1,2,3
164,0,1,2,3
165,0,1,2,3
166,0,1,2,3
167,0,1,2,3
168,0,1,2,3
169,0,1,2,3
170,0,1,2,3
171,0,1,2,3
172,0,1,2,3
173,1,1,2,3
174,0,1,2,3
175,0,1,2,3
176,0,1,2,3
177,0,1,2,3
178,0,1,2,3
179,0,1,2,3
180,0,1,2,3
181,1,1,2,3
